Date,Precipitation,Temperature,PotentialET,ObservedQ,SnowPack,LiquidWater,RunoffFromSnow,SoilMoisture,Recharge,RunoffSoil,ActualET,UpperStorage,LowerStorage,QuickFlow,IntermediateFlow,Baseflow,Discharge
1987-12-21,0.0,22.2,0.24,0.146,0.0,0.0,0.0,426.47806802487565,0.0,0.0,0.24,0.0,3.8334556724155657,0.0,0.0,0.20176082486397717,0.20176082486397717
1987-12-22,0.1,22.0,0.24,0.142,0.0,0.0,0.067,426.2480348736931,0.057033151182548085,0.0,0.24,0.0,3.695964382418208,0.0,0.0,0.1945244411799057,0.1945244411799057
1987-12-23,0.0,21.3,0.24,0.141,0.0,0.0,0.0,426.0080348736931,0.0,0.0,0.24,0.0,3.5111661632972972,0.0,0.0,0.1847982191209104,0.1847982191209104
1987-12-24,0.0,21.9,0.24,0.137,0.0,0.0,0.0,425.76803487369307,0.0,0.0,0.24,0.0,3.3356078551324324,0.0,0.0,0.17555830816486487,0.17555830816486487
1987-12-25,0.0,22.3,0.24,0.133,0.0,0.0,0.0,425.52803487369306,0.0,0.0,0.24,0.0,3.168827462375811,0.0,0.0,0.16678039275662163,0.16678039275662163
1987-12-26,0.0,22.6,0.24,0.13,0.0,0.0,0.0,425.28803487369305,0.0,0.0,0.24,0.0,3.0103860892570204,0.0,0.0,0.15844137311879056,0.15844137311879056
1987-12-27,0.0,22.9,0.24,0.126,0.0,0.0,0.0,425.04803487369304,0.0,0.0,0.24,0.0,2.8598667847941694,0.0,0.0,0.15051930446285103,0.15051930446285103
1987-12-28,0.0,23.1,0.24,0.125,0.0,0.0,0.0,424.80803487369303,0.0,0.0,0.24,0.0,2.716873445554461,0.0,0.0,0.14299333923970847,0.14299333923970847
1987-12-29,0.0,23.1,0.24,0.123,0.0,0.0,0.0,424.568034873693,0.0,0.0,0.24,0.0,2.5810297732767378,0.0,0.0,0.13584367227772307,0.13584367227772307
1987-12-30,0.8,22.8,0.24,0.121,0.0,0.0,0.536,424.4138725651724,0.4501623085205825,0.0,0.24,0.19015419309455336,2.689478284612901,0.0,0.010008115426029125,0.1415514886638369,0.15155960408986602
1987-12-31,0.3,22.6,0.24,0.119,0.0,0.0,0.201,424.20624552036514,0.16862704480727395,0.0,0.24,0.10334217600673594,2.792504370382256,0.0,0.005439061895091366,0.14697391423064507,0.15241297612573643
1988-01-01,1.4,21.8,0.24,0.118,0.0,0.0,0.938,424.1184736602838,0.7857718600813207,0.0,0.24,0.6071583342836537,2.890379151863143,0.0,0.03195570180440283,0.15212521851911281,0.18408092032351564
1988-01-02,0.8,22.0,0.24,0.116,0.0,0.0,0.536,423.96573982459114,0.44873383569270014,0.0,0.24,0.7655975614775362,2.983360194269986,0.0,0.0402946084988177,0.15701895759315718,0.19731356609197487
1988-01-03,0.5,22.9,0.24,0.114,0.0,0.0,0.335,423.7805840650622,0.2801557595288692,0.0,0.24,0.7559656549560851,3.0716921845564866,0.0,0.039787666050320275,0.16166800971349932,0.2014556757638196
1988-01-04,0.0,23.1,0.24,0.113,0.0,0.0,0.0,423.5405840650622,0.0,0.0,0.24,0.4806673722082809,3.1556075753286623,0.0,0.025298282747804258,0.16608460922782434,0.1913828919756286
1988-01-05,0.0,24.1,0.24,0.111,0.0,0.0,0.0,423.3005840650622,0.0,0.0,0.24,0.21913400359786683,3.235327196562229,0.0,0.011533368610414044,0.17028037876643312,0.18181374737684716
1988-01-06,0.0,24.0,0.24,0.11,0.0,0.0,0.0,423.0605840650622,0.0,0.0,0.24,0.0,3.281738140152091,0.0,0.0,0.1727230600080048,0.1727230600080048
1988-01-07,0.0,22.4,0.24,0.108,0.0,0.0,0.0,422.8205840650622,0.0,0.0,0.24,0.0,3.1176512331444863,0.0,0.0,0.16408690700760456,0.16408690700760456
1988-01-08,0.0,22.3,0.24,0.106,0.0,0.0,0.0,422.58058406506217,0.0,0.0,0.24,0.0,2.961768671487262,0.0,0.0,0.15588256165722433,0.15588256165722433
1988-01-09,0.0,22.0,0.24,0.105,0.0,0.0,0.0,422.34058406506216,0.0,0.0,0.24,0.0,2.813680237912899,0.0,0.0,0.1480884335743631,0.1480884335743631
1988-01-10,0.1,23.0,0.24,0.103,0.0,0.0,0.067,422.1121947863254,0.055389278736773795,0.0,0.24,0.0,2.7256160408171892,0.0,0.0,0.14345347583248366,0.14345347583248366
1988-01-11,0.0,23.8,0.24,0.102,0.0,0.0,0.0,421.8721947863254,0.0,0.0,0.24,0.0,2.5893352387763295,0.0,0.0,0.13628080204085946,0.13628080204085946
1988-01-12,0.0,23.2,0.24,0.1,0.0,0.0,0.0,421.6321947863254,0.0,0.0,0.24,0.0,2.459868476837513,0.0,0.0,0.12946676193881648,0.12946676193881648
1988-01-13,0.0,22.0,0.24,0.099,0.0,0.0,0.0,421.3921947863254,0.0,0.0,0.24,0.0,2.3368750529956377,0.0,0.0,0.12299342384187567,0.12299342384187567
1988-01-14,0.0,22.6,0.24,0.097,0.0,0.0,0.0,421.15219478632537,0.0,0.0,0.24,0.0,2.220031300345856,0.0,0.0,0.11684375264978189,0.11684375264978189
1988-01-15,0.2,22.7,0.24,0.096,0.0,0.0,0.134,420.93634873192286,0.10984605440251458,0.0,0.24,0.0,2.213383487010952,0.0,0.0,0.11649386773741853,0.11649386773741853
1988-01-16,0.5,21.6,0.24,0.094,0.0,0.0,0.335,420.75715561119154,0.274193120731297,0.0,0.24,0.02298346469473213,2.3402143126604043,0.0,0.0012096560365648492,0.1231691743505476,0.12437883038711245
1988-01-17,0.8,21.1,0.24,0.093,0.0,0.0,0.536,420.61500665641665,0.4381489547748816,0.0,0.24,0.20057579849613302,2.460703597027384,0.0,0.010556620973480686,0.12951071563302022,0.1400673366065009
1988-01-18,0.4,21.0,0.24,0.091,0.0,0.0,0.268,420.42415414094694,0.21885251546967452,0.0,0.24,0.16095689826751716,2.5751684171760147,0.0,0.008471415698290378,0.1355351798513692,0.14400659554965958
1988-01-19,0.4,20.9,0.24,0.09,0.0,0.0,0.268,420.23359940089875,0.21855474004816736,0.0,0.24,0.1230360563999003,2.683909996317214,0.0,0.0064755819157842264,0.14125842085880075,0.14773400277458498
1988-01-20,1.1,21.6,0.25,0.09,0.0,0.0,0.7370000000000001,420.12039072913205,0.6002086717667019,0.0,0.25,0.44958249175827214,2.7872144965013534,0.0,0.023662236408330112,0.1466954998158607,0.17035773622419081
1988-01-21,0.2,21.7,0.25,0.087,0.0,0.0,0.134,419.895350052138,0.10904067699407806,0.0,0.25,0.2931920103147327,2.885353771676286,0.0,0.01543115843761751,0.15186072482506768,0.16729188326268518
1988-01-22,0.1,22.4,0.25,0.086,0.0,0.0,0.067,419.6579172794187,0.054432772719307417,0.0,0.25,0.09274354388233809,2.9785860830924715,0.0,0.004881239151702005,0.1567676885838143,0.16164892773551628
1988-01-23,0.0,22.8,0.25,0.084,0.0,0.0,0.0,419.4079172794187,0.0,0.0,0.25,0.0,2.9177631456260693,0.0,0.0,0.1535664813487405,0.1535664813487405
1988-01-24,0.0,24.4,0.25,0.083,0.0,0.0,0.0,419.1579172794187,0.0,0.0,0.25,0.0,2.771874988344766,0.0,0.0,0.14588815728130347,0.14588815728130347
